Player,Height,Weight,DraftNumber,Origin
Toney Douglas,6-2,195.0,29,Florida State
James Ennis III,6-6,215.0,50,Cal State-Long Beach
Jaden Hardy,6-3,198.0,37,NBA G League Ignite
Omri Casspi,6-9,225.0,23,Maccabi Tel Aviv
Tony Parker,6-2,185.0,28,Paris Basket Racing
Jakob Poeltl,7-0,260.0,9,Utah
DeAndre Jordan,6-11,265.0,35,Texas A&M
Cole Anthony,6-2,185.0,15,North Carolina
Dean Wade,6-9,228.0,UFA,Kansas State
Keldon Johnson,6-5,220.0,29,Kentucky
Frank Mason III,5-11,190.0,34,Kansas
Jalen Smith,6-9,215.0,10,Maryland
Courtney Lee,6-5,215.0,22,Western Kentucky
Derrick Jones Jr.,6-6,210.0,UFA,UNLV
Wes Iwundu,6-6,195.0,33,Kansas State
David West,6-9,250.0,18,Xavier
Gary Clark,6-6,225.0,UFA,Cincinnati
Kevin Love,6-8,251.0,5,UCLA
Alonzo Gee,6-6,225.0,UFA,Alabama
Justin Anderson,6-5,231.0,21,Virginia
Raul Neto,6-2,180.0,47,Murcia
Marvin Bagley III,6-10,235.0,2,Duke
Elie Okobo,6-3,190.0,31,Elan Bearnais
Alex Len,7-0,250.0,5,Maryland
Christian Koloko,7-0,225.0,33,Arizona
Trendon Watford,6-8,237.0,UFA,Louisiana State
Tyler Johnson,6-3,186.0,UFA,Fresno State
